"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.242724333E0,1.441620056E-1,7.529313415E-3,-1.164256650E-1,1.854570297E-1
2.252736333E0,1.486789797E-1,-4.216427207E-3,-1.702136171E-1,2.260440061E-1
2.262748333E0,2.094481418E-1,5.152946502E-2,-1.674104619E-1,2.730385918E-1
2.272761333E0,2.652661740E-1,6.358525425E-2,-1.081325591E-1,2.934312150E-1
2.282773333E0,2.426940212E-1,4.136751585E-2,-4.502472997E-2,2.502776171E-1
2.292786333E0,1.503208047E-1,-1.139322661E-2,2.042724788E-2,1.521296237E-1
2.302798333E0,4.073287368E-2,-4.045673892E-2,8.848883808E-2,1.054807527E-1
2.312811333E0,1.007606819E-2,-5.644975081E-2,1.632624471E-1,1.730396722E-1
2.322823333E0,4.495675609E-2,-4.452683955E-2,2.246576267E-1,2.333983689E-1
2.332836333E0,1.030732557E-1,-5.905833989E-3,2.570751750E-1,2.770318042E-1
2.342848333E0,9.009996526E-2,7.311153799E-2,2.728544712E-1,2.965010340E-1
2.352861333E0,-1.545543350E-2,1.833769421E-1,1.727226573E-1,2.523867858E-1
2.362873333E0,-1.752007804E-1,3.497957893E-1,1.468177378E-2,3.914945238E-1
2.372885333E0,-3.308632359E-1,5.059632980E-1,-5.966557324E-2,6.074778353E-1
2.382898333E0,-3.520582232E-1,4.597770187E-1,-2.325028360E-2,5.795519606E-1
2.392910333E0,-3.680510889E-1,2.002813156E-1,1.788522935E-1,4.555901144E-1
2.402923333E0,-4.000469068E-1,-1.422272350E-1,4.313625473E-1,6.052600773E-1
2.412935333E0,-3.911894714E-1,-4.651083637E-1,5.814009315E-1,8.410600666E-1
2.422948333E0,-4.205900757E-1,-7.030322264E-1,5.210295993E-1,9.708873089E-1
2.432960333E0,-4.635850178E-1,-7.809594581E-1,2.158616602E-1,9.334907607E-1
2.442973333E0,-4.665581808E-1,-7.165182446E-1,-1.955390775E-1,8.771034499E-1
2.452985333E0,-4.280474684E-1,-5.540226598E-1,-5.510562211E-1,8.909706514E-1
2.462998333E0,-2.747131549E-1,-3.578952793E-1,-7.577178723E-1,8.818688805E-1
2.473010333E0,-5.097047120E-2,-1.400484893E-1,-8.518293929E-1,8.647686875E-1
2.483022333E0,1.493218810E-1,5.445511937E-2,-8.682004273E-1,8.826292348E-1
2.493035333E0,2.034092105E-1,1.942538595E-1,-7.560607713E-1,8.066831837E-1
2.503047333E0,1.898389924E-1,2.222606338E-1,-5.389027834E-1,6.130700142E-1
2.513060333E0,2.338005524E-1,1.542695756E-1,-2.820743608E-1,3.975270372E-1
2.523072333E0,2.962384368E-1,1.341665559E-2,-4.941774309E-2,3.006315542E-1
2.533085333E0,2.918877429E-1,-1.054046868E-1,7.205289960E-2,3.185909961E-1
2.543097333E0,2.016568000E-1,-1.514461014E-1,4.326881111E-2,2.558780503E-1
2.553110333E0,1.097215399E-1,-1.156479853E-1,-6.906263351E-2,1.737323234E-1
2.563122333E0,8.176271282E-2,-5.068410382E-2,-1.741406071E-1,1.989446421E-1
2.573135333E0,8.113925345E-2,-3.514308169E-2,-2.870088261E-1,3.003209632E-1
2.583147333E0,6.774839871E-2,-9.715178043E-2,-3.034219605E-1,3.257195113E-1
2.593159333E0,2.000244766E-2,-1.255902254E-1,-2.149272752E-1,2.497333303E-1
2.603172333E0,-1.124331862E-2,-1.303722976E-1,-1.003990316E-1,1.649342710E-1
2.613184333E0,1.060876416E-1,-1.167868768E-1,3.042306304E-2,1.606839290E-1
2.623197333E0,3.268653484E-1,-2.766303107E-2,1.365833563E-1,3.553325379E-1
2.633209333E0,4.038436501E-1,7.699606262E-2,2.167095065E-1,4.647376653E-1
2.643222333E0,3.393443298E-1,1.399187542E-1,2.557285613E-1,4.473577193E-1
2.653234333E0,3.245970672E-1,1.364814685E-1,2.219801867E-1,4.162519076E-1
2.663247333E0,3.149313274E-1,7.527471542E-2,1.796574551E-1,3.703036928E-1
2.673259333E0,2.343330145E-1,1.312034793E-2,1.055621231E-1,2.573469779E-1
2.683271333E0,1.508603565E-1,-6.583701700E-2,-4.818222642E-2,1.715076877E-1
2.693284333E0,1.249077091E-1,-7.186973557E-2,-2.222994447E-1,2.649230790E-1
2.703296333E0,9.997554705E-2,4.508934170E-3,-2.980138707E-1,3.143687447E-1
2.713309333E0,4.729746960E-2,9.517520227E-2,-3.135890990E-1,3.311094876E-1
2.723321333E0,7.779523082E-2,1.683838771E-1,-3.263126403E-1,3.753467294E-1
2.733334333E0,1.279006796E-1,1.902034932E-1,-2.509016848E-1,3.398346776E-1
2.743346333E0,3.323206544E-2,1.741042813E-1,-1.944286913E-1,2.630953951E-1
2.753359333E0,-1.554197960E-1,8.424829111E-2,-1.015854317E-1,2.038938142E-1
2.763371333E0,-2.681519211E-1,-6.278382026E-2,-1.737032354E-2,2.759510627E-1
2.773384333E0,-3.264449336E-1,-2.255442108E-1,1.913793683E-2,3.972439380E-1
2.783396333E0,-3.653612966E-1,-3.304993198E-1,4.605793297E-2,4.948131068E-1
2.793408333E0,-3.662747048E-1,-3.550855460E-1,7.616641581E-2,5.157947530E-1
2.803421333E0,-2.883313201E-1,-2.735786489E-1,1.312840247E-1,4.185877715E-1
2.813433333E0,-2.443301453E-1,-1.497428074E-1,1.035951197E-1,3.047163880E-1
2.823446333E0,-2.892902635E-1,-7.913840935E-2,-6.113380909E-2,3.060867312E-1
2.833458333E0,-3.377473091E-1,-5.796651855E-2,-2.979103750E-1,4.540748326E-1
2.843471333E0,-4.228038315E-1,-9.961411603E-2,-4.697208667E-1,6.397841391E-1
2.853483333E0,-4.630181303E-1,-1.287415092E-1,-5.121950412E-1,7.023559819E-1
2.863496333E0,-3.761518946E-1,-1.198954028E-1,-4.333927006E-1,5.862545422E-1
2.873508333E0,-2.240173566E-1,-8.458772197E-2,-3.283094645E-1,4.063569407E-1
2.883520333E0,-1.278210112E-1,-4.668351196E-2,-2.359509391E-1,2.723791601E-1
2.893533333E0,-1.314736207E-1,-5.266572520E-2,-2.097899115E-1,2.531221020E-1
2.903545333E0,-1.468436848E-1,-1.065946683E-1,-1.977411389E-1,2.683785556E-1
2.913558333E0,-9.887839012E-2,-1.992041123E-1,-2.027960569E-1,3.009741767E-1
2.923570333E0,-7.253617197E-3,-2.406299541E-1,-2.286220390E-1,3.319991363E-1
2.933583333E0,1.165649749E-1,-1.955016553E-1,-1.635577315E-1,2.802845379E-1
2.943595333E0,2.635518435E-1,-1.030085709E-1,-2.060500324E-2,2.837162421E-1
2.953608333E0,3.810106384E-1,2.318070173E-2,1.323756999E-1,4.040170509E-1
